linha_original,disciplina,hierarquia_codigo,nivel_profundidade,assunto_nivel_1,assunto_nivel_2,assunto_nivel_3,assunto_nivel_4,assunto_especifico,quantidade_encontrada,porcentagem_encontrada,quantidade_caderno,porcentagem_caderno
332,Economia e Finanças Públicas,05.02,2,História da Economia,Economia (Politica) Moderna ,,,Economia (Politica) Moderna ,6,0.1,6,0.1
333,Economia e Finanças Públicas,05.02.01,3,História da Economia,Economia (Politica) Moderna ,John M. Keynes,,John M. Keynes,4,0.07,4,0.07
334,Economia e Finanças Públicas,05.02.02,3,História da Economia,Economia (Politica) Moderna ,Fundamentos da Moderna Macroeconomia,,Fundamentos da Moderna Macroeconomia,2,0.03,2,0.03
335,Economia e Finanças Públicas,06,1,Economia Brasileira,,,,Economia Brasileira,118,1.99,118,1.99
336,Economia e Finanças Públicas,06.01,2,Economia Brasileira,Período Colonial (Economia Brasileira),,,Período Colonial (Economia Brasileira),2,0.03,2,0.03
337,Economia e Finanças Públicas,06.01.01,3,Economia Brasileira,Período Colonial (Economia Brasileira),Economia Açucareira,,Economia Açucareira,1,0.02,1,0.02
338,Economia e Finanças Públicas,06.01.02,3,Economia Brasileira,Período Colonial (Economia Brasileira),Mineração,,Mineração,1,0.02,1,0.02
339,Economia e Finanças Públicas,06.02,2,Economia Brasileira,"Século XIX (Economia Cafeeira, Escravismo e Início da Industrialização)",,,"Século XIX (Economia Cafeeira, Escravismo e Início da Industrialização)",17,0.29,17,0.29
340,Economia e Finanças Públicas,06.03,2,Economia Brasileira,Primeira Metade do Século XX (Economia Brasileira),,,Primeira Metade do Século XX (Economia Brasileira),39,0.66,39,0.66
341,Economia e Finanças Públicas,06.03.01,3,Economia Brasileira,Primeira Metade do Século XX (Economia Brasileira),Início da Industrialização,,Início da Industrialização,16,0.27,16,0.27
342,Economia e Finanças Públicas,06.03.02,3,Economia Brasileira,Primeira Metade do Século XX (Economia Brasileira),Depressão dos Anos 1930,,Depressão dos Anos 1930,8,0.13,8,0.13
343,Economia e Finanças Públicas,06.03.03,3,Economia Brasileira,Primeira Metade do Século XX (Economia Brasileira),Economia no Pós-Guerra,,Economia no Pós-Guerra,12,0.2,12,0.2
344,Economia e Finanças Públicas,06.03.04,3,Economia Brasileira,Primeira Metade do Século XX (Economia Brasileira),Reformas de Getúlio Vargas,,Reformas de Getúlio Vargas,3,0.05,3,0.05
345,Economia e Finanças Públicas,06.04,2,Economia Brasileira,Plano de Metas e o Governo JK,,,Plano de Metas e o Governo JK,8,0.13,8,0.13
346,Economia e Finanças Públicas,06.05,2,Economia Brasileira,A Economia da Década de 60 e do Regime Militar,,,A Economia da Década de 60 e do Regime Militar,2,0.03,2,0.03
347,Economia e Finanças Públicas,06.06,2,Economia Brasileira,Plano Trienal,,,Plano Trienal,9,0.15,9,0.15
348,Economia e Finanças Públicas,06.07,2,Economia Brasileira,PAEG,,,PAEG,1,0.02,1,0.02
349,Economia e Finanças Públicas,06.08,2,Economia Brasileira,Milagre Econômico,,,Milagre Econômico,5,0.08,5,0.08
350,Economia e Finanças Públicas,06.09,2,Economia Brasileira,Planos Nacionais de Desenvolvimento (PNDs),,,Planos Nacionais de Desenvolvimento (PNDs),3,0.05,3,0.05
351,Economia e Finanças Públicas,06.10,2,Economia Brasileira,Crise da Dívida Externa,,,Crise da Dívida Externa,3,0.05,3,0.05
352,Economia e Finanças Públicas,06.11,2,Economia Brasileira,Governo Sarney e os Planos Econômicos da Década Perdida (1980),,,Governo Sarney e os Planos Econômicos da Década Perdida (1980),17,0.29,17,0.29
353,Economia e Finanças Públicas,06.11.01,3,Economia Brasileira,Governo Sarney e os Planos Econômicos da Década Perdida (1980),"Economia Brasileira na Década de 80 (a ""Década Perdida"")",,"Economia Brasileira na Década de 80 (a ""Década Perdida"")",5,0.08,5,0.08
354,Economia e Finanças Públicas,06.11.02,3,Economia Brasileira,Governo Sarney e os Planos Econômicos da Década Perdida (1980),Plano Cruzado,,Plano Cruzado,9,0.15,9,0.15
355,Economia e Finanças Públicas,06.11.03,3,Economia Brasileira,Governo Sarney e os Planos Econômicos da Década Perdida (1980),Plano Bresser,,Plano Bresser,1,0.02,1,0.02
356,Economia e Finanças Públicas,06.11.04,3,Economia Brasileira,Governo Sarney e os Planos Econômicos da Década Perdida (1980),Plano Verão,,Plano Verão,2,0.03,2,0.03
357,Economia e Finanças Públicas,06.12,2,Economia Brasileira,Governo Collor,,,Governo Collor,2,0.03,2,0.03
358,Economia e Finanças Públicas,06.12.01,3,Economia Brasileira,Governo Collor,Plano Collor I,,Plano Collor I,2,0.03,2,0.03
359,Economia e Finanças Públicas,06.13,2,Economia Brasileira,Economia Brasileira na Década de 1990,,,Economia Brasileira na Década de 1990,3,0.05,3,0.05
360,Economia e Finanças Públicas,06.14,2,Economia Brasileira,Plano Real,,,Plano Real,3,0.05,3,0.05
361,Economia e Finanças Públicas,06.14.01,3,Economia Brasileira,Plano Real,Antecedentes e Implantação,,Antecedentes e Implantação,3,0.05,3,0.05
362,Economia e Finanças Públicas,06.15,2,Economia Brasileira,Governo Lula,,,Governo Lula,1,0.02,1,0.02
363,Economia e Finanças Públicas,06.16,2,Economia Brasileira,Crise Financeira de 2008,,,Crise Financeira de 2008,3,0.05,3,0.05
364,Economia e Finanças Públicas,07,1,Economia do Trabalho,,,,Economia do Trabalho,6,0.1,6,0.1
365,Economia e Finanças Públicas,07.01,2,Economia do Trabalho,"Conceitos Básicos, Definições e Indicadores do Mercado de Trabalho",,,"Conceitos Básicos, Definições e Indicadores do Mercado de Trabalho",2,0.03,2,0.03
366,Economia e Finanças Públicas,07.02,2,Economia do Trabalho,Desemprego,,,Desemprego,4,0.07,4,0.07
367,Economia e Finanças Públicas,08,1,Desenvolvimento Econômico e Distribuição de Renda,,,,Desenvolvimento Econômico e Distribuição de Renda,10,0.17,10,0.17
368,Economia e Finanças Públicas,08.01,2,Desenvolvimento Econômico e Distribuição de Renda,Teorias do Desenvolvimento Econômico,,,Teorias do Desenvolvimento Econômico,10,0.17,10,0.17
369,Economia e Finanças Públicas,09,1,Sem Classificação,,,,Sem Classificação,24,0.4,24,0.4
370,Língua Espanhola (Espanhol),,0,,,,,Língua Espanhola (Espanhol),300,5.05,300,5.05
371,Língua Espanhola (Espanhol),01,1,Interpretação de Textos (Espanhol),,,,Interpretação de Textos (Espanhol),271,4.56,271,4.56
372,Língua Espanhola (Espanhol),02,1,Sintaxe (Espanhol),,,,Sintaxe (Espanhol),5,0.08,5,0.08
373,Língua Espanhola (Espanhol),02.01,2,Sintaxe (Espanhol),Uso e colocação dos pronomes (Espanhol),,,Uso e colocação dos pronomes (Espanhol),5,0.08,5,0.08
374,Língua Espanhola (Espanhol),03,1,Semântica (Espanhol),,,,Semântica (Espanhol),18,0.3,18,0.3
375,Língua Espanhola (Espanhol),03.01,2,Semântica (Espanhol),"Significado de Palavras e Expressões (Sinônimos, Antônimos, Parônimos, Denotação, Conotação, etc.)",,,"Significado de Palavras e Expressões (Sinônimos, Antônimos, Parônimos, Denotação, Conotação, etc.)",15,0.25,15,0.25
376,Língua Espanhola (Espanhol),03.02,2,Semântica (Espanhol),"Divergências léxicas entre português e espanhol (falso cognato, heterossemânticos, heterotônicos)",,,"Divergências léxicas entre português e espanhol (falso cognato, heterossemânticos, heterotônicos)",1,0.02,1,0.02
377,Língua Espanhola (Espanhol),03.03,2,Semântica (Espanhol),Figuras de Linguagem (Espanhol),,,Figuras de Linguagem (Espanhol),1,0.02,1,0.02
378,Língua Espanhola (Espanhol),03.04,2,Semântica (Espanhol),Substituição de Palavras e Reescrita de Frases (Espanhol),,,Substituição de Palavras e Reescrita de Frases (Espanhol),1,0.02,1,0.02
379,Língua Espanhola (Espanhol),04,1,Linguística Textual,,,,Linguística Textual,5,0.08,5,0.08
380,Língua Espanhola (Espanhol),04.01,2,Linguística Textual,Coesão e coerência (Espanhol),,,Coesão e coerência (Espanhol),5,0.08,5,0.08
381,Língua Espanhola (Espanhol),05,1,Literatura Espanhola,,,,Literatura Espanhola,1,0.02,1,0.02
382,Língua Francesa (Francês),,0,,,,,Língua Francesa (Francês),300,5.05,300,5.05
383,Língua Francesa (Francês),01,1,Gramática (Francês),,,,Gramática (Francês),55,0.93,55,0.93
384,Língua Francesa (Francês),02,1,Interpretação de Textos (Francês),,,,Interpretação de Textos (Francês),159,2.68,159,2.68
385,Língua Francesa (Francês),03,1,"Semântica, Vocabulário e Tradução (Francês)",,,,"Semântica, Vocabulário e Tradução (Francês)",86,1.45,86,1.45
386,Relações Internacionais e Comércio Internacional,,0,,,,,Relações Internacionais e Comércio Internacional,664,11.18,664,11.18
387,Relações Internacionais e Comércio Internacional,01,1,História das Relações Internacionais,,,,História das Relações Internacionais,61,1.03,61,1.03
388,Relações Internacionais e Comércio Internacional,01.01,2,História das Relações Internacionais,Tratado de Westfália,,,Tratado de Westfália,1,0.02,1,0.02
389,Relações Internacionais e Comércio Internacional,01.02,2,História das Relações Internacionais,Ordem Mundial do Século XX,,,Ordem Mundial do Século XX,13,0.22,13,0.22
390,Relações Internacionais e Comércio Internacional,01.02.01,3,História das Relações Internacionais,Ordem Mundial do Século XX,A Criação da ONU,,A Criação da ONU,6,0.1,6,0.1
391,Relações Internacionais e Comércio Internacional,01.02.02,3,História das Relações Internacionais,Ordem Mundial do Século XX,Ordem Mundial Bipolar e Guerra Fria,,Ordem Mundial Bipolar e Guerra Fria,7,0.12,7,0.12
392,Relações Internacionais e Comércio Internacional,01.03,2,História das Relações Internacionais,Descolonização e Terceiro Mundo: Conflitos Pós-coloniais e Problemas de Desenvolvimento,,,Descolonização e Terceiro Mundo: Conflitos Pós-coloniais e Problemas de Desenvolvimento,18,0.3,18,0.3
393,Relações Internacionais e Comércio Internacional,01.04,2,História das Relações Internacionais,Globalização e a Nova Ordem Mundial,,,Globalização e a Nova Ordem Mundial,4,0.07,4,0.07
394,Relações Internacionais e Comércio Internacional,01.05,2,História das Relações Internacionais,O Mundo Pós-Guerra Fria,,,O Mundo Pós-Guerra Fria,25,0.42,25,0.42
395,Relações Internacionais e Comércio Internacional,01.05.01,3,História das Relações Internacionais,O Mundo Pós-Guerra Fria,EUA,,EUA,6,0.1,6,0.1
396,Relações Internacionais e Comércio Internacional,01.05.02,3,História das Relações Internacionais,O Mundo Pós-Guerra Fria,URSS e Rússia,,URSS e Rússia,7,0.12,7,0.12
397,Relações Internacionais e Comércio Internacional,01.05.03,3,História das Relações Internacionais,O Mundo Pós-Guerra Fria,África e Ásia,,África e Ásia,12,0.2,12,0.2
398,Relações Internacionais e Comércio Internacional,02,1,Teoria das Relações Internacionais,,,,Teoria das Relações Internacionais,29,0.49,29,0.49
399,Relações Internacionais e Comércio Internacional,03,1,Teoria Política,,,,Teoria Política,3,0.05,3,0.05
400,Relações Internacionais e Comércio Internacional,04,1,Política Externa,,,,Política Externa,233,3.92,233,3.92
401,Relações Internacionais e Comércio Internacional,04.01,2,Política Externa,Política Externa Brasileira,,,Política Externa Brasileira,204,3.43,204,3.43
402,Relações Internacionais e Comércio Internacional,04.02,2,Política Externa,Instituições e Processo Decisório em Política Externa,,,Instituições e Processo Decisório em Política Externa,21,0.35,21,0.35
403,Relações Internacionais e Comércio Internacional,04.03,2,Política Externa,Opinião Pública e Política Externa,,,Opinião Pública e Política Externa,8,0.13,8,0.13
404,Relações Internacionais e Comércio Internacional,05,1,Comércio Internacional,,,,Comércio Internacional,172,2.9,172,2.9
405,Relações Internacionais e Comércio Internacional,05.01,2,Comércio Internacional,Teorias do Comércio Internacional,,,Teorias do Comércio Internacional,3,0.05,3,0.05
406,Relações Internacionais e Comércio Internacional,05.02,2,Comércio Internacional,Organização Mundial do Comércio (OMC),,,Organização Mundial do Comércio (OMC),29,0.49,29,0.49
407,Relações Internacionais e Comércio Internacional,05.02.01,3,Comércio Internacional,Organização Mundial do Comércio (OMC),OMC - Estrutura e Funcionamento,,OMC - Estrutura e Funcionamento,15,0.25,15,0.25
408,Relações Internacionais e Comércio Internacional,05.02.02,3,Comércio Internacional,Organização Mundial do Comércio (OMC),Acordos Administrativos pela OMC,,Acordos Administrativos pela OMC,14,0.24,14,0.24
409,Relações Internacionais e Comércio Internacional,05.03,2,Comércio Internacional,Políticas Comerciais,,,Políticas Comerciais,4,0.07,4,0.07
410,Relações Internacionais e Comércio Internacional,05.04,2,Comércio Internacional,UNCTAD e Sistemas Preferenciais,,,UNCTAD e Sistemas Preferenciais,1,0.02,1,0.02
411,Relações Internacionais e Comércio Internacional,05.05,2,Comércio Internacional,Integração Regional,,,Integração Regional,85,1.43,85,1.43
412,Relações Internacionais e Comércio Internacional,05.05.01,3,Comércio Internacional,Integração Regional,Estágios de Integração e Globalização,,Estágios de Integração e Globalização,5,0.08,5,0.08
413,Relações Internacionais e Comércio Internacional,05.05.02,3,Comércio Internacional,Integração Regional,Integração Regional nas Américas,,Integração Regional nas Américas,38,0.64,38,0.64
414,Relações Internacionais e Comércio Internacional,05.05.03,3,Comércio Internacional,Integração Regional,MERCOSUL (Comércio Internacional),,MERCOSUL (Comércio Internacional),24,0.4,24,0.4
415,Relações Internacionais e Comércio Internacional,05.05.04,3,Comércio Internacional,Integração Regional,União Europeia (Comércio Internacional),,União Europeia (Comércio Internacional),18,0.3,18,0.3
416,Relações Internacionais e Comércio Internacional,05.06,2,Comércio Internacional,Práticas Desleais de Comércio e Defesa Comercial,,,Práticas Desleais de Comércio e Defesa Comercial,5,0.08,5,0.08
417,Relações Internacionais e Comércio Internacional,05.06.01,3,Comércio Internacional,Práticas Desleais de Comércio e Defesa Comercial,Medidas de Salvaguarda,,Medidas de Salvaguarda,2,0.03,2,0.03
418,Relações Internacionais e Comércio Internacional,05.06.02,3,Comércio Internacional,Práticas Desleais de Comércio e Defesa Comercial,Subsídios,,Subsídios,3,0.05,3,0.05
419,Relações Internacionais e Comércio Internacional,05.07,2,Comércio Internacional,Sistema Administrativo e Instituições Intervenientes no Comércio Exterior,,,Sistema Administrativo e Instituições Intervenientes no Comércio Exterior,1,0.02,1,0.02
420,Relações Internacionais e Comércio Internacional,05.07.01,3,Comércio Internacional,Sistema Administrativo e Instituições Intervenientes no Comércio Exterior,Outras Instituições Intervenientes,,Outras Instituições Intervenientes,1,0.02,1,0.02
421,Relações Internacionais e Comércio Internacional,05.08,2,Comércio Internacional,Educação no Exterior,,,Educação no Exterior,44,0.74,44,0.74
422,Relações Internacionais e Comércio Internacional,06,1,Regime de Segurança Internacional,,,,Regime de Segurança Internacional,65,1.09,65,1.09
423,Relações Internacionais e Comércio Internacional,06.01,2,Regime de Segurança Internacional,Ameaças Internacionais,,,Ameaças Internacionais,14,0.24,14,0.24
424,Relações Internacionais e Comércio Internacional,06.02,2,Regime de Segurança Internacional,Conselho de Segurança da ONU,,,Conselho de Segurança da ONU,21,0.35,21,0.35
425,Relações Internacionais e Comércio Internacional,06.03,2,Regime de Segurança Internacional,"Tratados de Segurança (OTAN, Pacto de Varsóvia, etc.)",,,"Tratados de Segurança (OTAN, Pacto de Varsóvia, etc.)",4,0.07,4,0.07
426,Relações Internacionais e Comércio Internacional,06.04,2,Regime de Segurança Internacional,"Desenvolvimento, Sustentabilidade, Democracia e Direitos Humanos",,,"Desenvolvimento, Sustentabilidade, Democracia e Direitos Humanos",26,0.44,26,0.44
427,Relações Internacionais e Comércio Internacional,07,1,Economia e Finanças Internacionais,,,,Economia e Finanças Internacionais,18,0.3,18,0.3
428,Relações Internacionais e Comércio Internacional,08,1,Sem Classificação,,,,Sem Classificação,83,1.4,83,1.4
429,História,,0,,,,,História,1502,25.28,1502,25.28
430,História,01,1,Historiografia,,,,Historiografia,6,0.1,6,0.1
431,História,02,1,História do Brasil,,,,História do Brasil,688,11.58,688,11.58
432,História,02.01,2,História do Brasil,"Pré-Descobrimento (até 1.500, incluindo Tratado de Tordesilhas)",,,"Pré-Descobrimento (até 1.500, incluindo Tratado de Tordesilhas)",1,0.02,1,0.02
433,História,02.02,2,História do Brasil,Período Colonial (1500-1822),,,Período Colonial (1500-1822),127,2.14,127,2.14
434,História,02.02.01,3,História do Brasil,Período Colonial (1500-1822),Descobrimento e Primeira Colonização (de 1500 a 1530),,Descobrimento e Primeira Colonização (de 1500 a 1530),1,0.02,1,0.02
435,História,02.02.02,3,História do Brasil,Período Colonial (1500-1822),Extração de Pau Brasil e a Concorrência Estrangeira,,Extração de Pau Brasil e a Concorrência Estrangeira,1,0.02,1,0.02
436,História,02.02.03,3,História do Brasil,Período Colonial (1500-1822),Capitanias Hereditárias  (Brasil Colônia),,Capitanias Hereditárias  (Brasil Colônia),5,0.08,5,0.08
437,História,02.02.04,3,História do Brasil,Período Colonial (1500-1822),Invasões Estrangeiras durante o Período Colonial,,Invasões Estrangeiras durante o Período Colonial,2,0.03,2,0.03
438,História,02.02.05,3,História do Brasil,Período Colonial (1500-1822),Governo Geral (Brasil Colônia),,Governo Geral (Brasil Colônia),8,0.13,8,0.13
439,História,02.02.06,3,História do Brasil,Período Colonial (1500-1822),Exploração da Cana de Açúcar (Brasil Colônia),,Exploração da Cana de Açúcar (Brasil Colônia),3,0.05,3,0.05
440,História,02.02.07,3,História do Brasil,Período Colonial (1500-1822),"Bandeirantes e Expansão Territorial nos Séculos XVI a XVIII. Tratados de Madri, Badajoz, Santo Idelfonso, El Pardo, Utrecht",,"Bandeirantes e Expansão Territorial nos Séculos XVI a XVIII. Tratados de Madri, Badajoz, Santo Idelfonso, El Pardo, Utrecht",19,0.32,19,0.32
441,História,02.02.08,3,História do Brasil,Período Colonial (1500-1822),Mineração e Ciclo do Ouro,,Mineração e Ciclo do Ouro,8,0.13,8,0.13
442,História,02.02.09,3,História do Brasil,Período Colonial (1500-1822),"Os Índios durante o Período Colonial (Alianças, Conflitos, Aculturação, Escravidão, etc)",,"Os Índios durante o Período Colonial (Alianças, Conflitos, Aculturação, Escravidão, etc)",1,0.02,1,0.02
443,História,02.02.10,3,História do Brasil,Período Colonial (1500-1822),"Os Negros durante o Período Colonial (Cultura, Escravidão, Tráfico Negreiro, etc)",,"Os Negros durante o Período Colonial (Cultura, Escravidão, Tráfico Negreiro, etc)",1,0.02,1,0.02
444,História,02.02.11,3,História do Brasil,Período Colonial (1500-1822),"Guerras e Conflitos Internos no Período Colonial (Emboabas, Mascates, Revolta de Beckman, Filipe dos Santos, etc)",,"Guerras e Conflitos Internos no Período Colonial (Emboabas, Mascates, Revolta de Beckman, Filipe dos Santos, etc)",3,0.05,3,0.05
445,História,02.02.12,3,História do Brasil,Período Colonial (1500-1822),Religião durante o Período Colonial (inclui Missões Jesuíticas),,Religião durante o Período Colonial (inclui Missões Jesuíticas),2,0.03,2,0.03
446,História,02.02.13,3,História do Brasil,Período Colonial (1500-1822),"Artes, Cultura e Sociedade Coloniais (Educação, Ciência, Artes)",,"Artes, Cultura e Sociedade Coloniais (Educação, Ciência, Artes)",1,0.02,1,0.02
447,História,02.02.14,3,História do Brasil,Período Colonial (1500-1822),Movimentos Emancipacionistas,,Movimentos Emancipacionistas,10,0.17,10,0.17
448,História,02.02.15,3,História do Brasil,Período Colonial (1500-1822),Período Joanino e Crise do Sistema Colonial,,Período Joanino e Crise do Sistema Colonial,26,0.44,26,0.44
449,História,02.02.16,3,História do Brasil,Período Colonial (1500-1822),A Independência (1822) e a Guerra de Independência,,A Independência (1822) e a Guerra de Independência,25,0.42,25,0.42
450,História,02.02.17,3,História do Brasil,Período Colonial (1500-1822),Outras Questões sobre o Brasil Colônia,,Outras Questões sobre o Brasil Colônia,11,0.19,11,0.19
451,História,02.03,2,História do Brasil,Primeiro Reinado (1822-1831),,,Primeiro Reinado (1822-1831),52,0.88,52,0.88
452,História,02.03.01,3,História do Brasil,Primeiro Reinado (1822-1831),"Constituição de 1824 e a Política no Primeiro Reinado (Liberalismo, Federalismo, Confederação do Equador)",,"Constituição de 1824 e a Política no Primeiro Reinado (Liberalismo, Federalismo, Confederação do Equador)",14,0.24,14,0.24
453,História,02.03.02,3,História do Brasil,Primeiro Reinado (1822-1831),Política Externa do Primeiro Reinado (Reconhecimento da Independência),,Política Externa do Primeiro Reinado (Reconhecimento da Independência),16,0.27,16,0.27
454,História,02.03.03,3,História do Brasil,Primeiro Reinado (1822-1831),Economia no Primeiro Reinado,,Economia no Primeiro Reinado,2,0.03,2,0.03
455,História,02.03.04,3,História do Brasil,Primeiro Reinado (1822-1831),Guerra da Cisplatina,,Guerra da Cisplatina,10,0.17,10,0.17
456,História,02.03.05,3,História do Brasil,Primeiro Reinado (1822-1831),"A Escravidão Durante o Primeiro Reinado. Tratado Anglo Brasileiro, Lei Feijó.",,"A Escravidão Durante o Primeiro Reinado. Tratado Anglo Brasileiro, Lei Feijó.",1,0.02,1,0.02
457,História,02.03.06,3,História do Brasil,Primeiro Reinado (1822-1831),"Religião, Sociedade e Cultura durante o Primeiro Reinado (Educação, Ciência, Artes)",,"Religião, Sociedade e Cultura durante o Primeiro Reinado (Educação, Ciência, Artes)",1,0.02,1,0.02
458,História,02.03.07,3,História do Brasil,Primeiro Reinado (1822-1831),A Crise Final do Primeiro Reinado e a Abdicação de Dom Pedro,,A Crise Final do Primeiro Reinado e a Abdicação de Dom Pedro,1,0.02,1,0.02
459,História,02.03.08,3,História do Brasil,Primeiro Reinado (1822-1831),Outras Questões sobre o Primeiro Reinado,,Outras Questões sobre o Primeiro Reinado,7,0.12,7,0.12
460,História,02.04,2,História do Brasil,Período Regencial (1831-1840),,,Período Regencial (1831-1840),32,0.54,32,0.54
461,História,02.04.01,3,História do Brasil,Período Regencial (1831-1840),"Política no Período Regencial (Regências, Reformas Institucionais e Políticas, Código de Processo Criminal de 1832, Ato Adicional de 1834)",,"Política no Período Regencial (Regências, Reformas Institucionais e Políticas, Código de Processo Criminal de 1832, Ato Adicional de 1834)",10,0.17,10,0.17
462,História,02.04.02,3,História do Brasil,Período Regencial (1831-1840),"Revoltas Provinciais no Período Regencial (Cabanagem, Farroupilha, Sabinada, Balaiada)",,"Revoltas Provinciais no Período Regencial (Cabanagem, Farroupilha, Sabinada, Balaiada)",16,0.27,16,0.27
463,História,02.04.03,3,História do Brasil,Período Regencial (1831-1840),A Crise do Período Regencial e o Golpe de Maioridade (1840),,A Crise do Período Regencial e o Golpe de Maioridade (1840),1,0.02,1,0.02
464,História,02.04.04,3,História do Brasil,Período Regencial (1831-1840),Outras Questões sobre o Período Regencial,,Outras Questões sobre o Período Regencial,5,0.08,5,0.08
465,História,02.05,2,História do Brasil,Segundo Reinado (1840-1889),,,Segundo Reinado (1840-1889),73,1.23,73,1.23
466,História,02.05.01,3,História do Brasil,Segundo Reinado (1840-1889),Política no Segundo Reinado,,Política no Segundo Reinado,13,0.22,13,0.22
467,História,02.05.02,3,História do Brasil,Segundo Reinado (1840-1889),Política Externa no Segundo Reinado,,Política Externa no Segundo Reinado,12,0.2,12,0.2
468,História,02.05.03,3,História do Brasil,Segundo Reinado (1840-1889),Economia no Segundo Reinado,,Economia no Segundo Reinado,7,0.12,7,0.12
469,História,02.05.04,3,História do Brasil,Segundo Reinado (1840-1889),"Os Negros no Segundo Reinado (Abolição da Escravatura, Vida nos Negros Escravizados e Livres, Leis Eusébio de Queiroz, Áurea, Ventre livre)",,"Os Negros no Segundo Reinado (Abolição da Escravatura, Vida nos Negros Escravizados e Livres, Leis Eusébio de Queiroz, Áurea, Ventre livre)",9,0.15,9,0.15
470,História,02.05.05,3,História do Brasil,Segundo Reinado (1840-1889),Imigração e Substituição do Trabalho Escravo no Segundo Reinado,,Imigração e Substituição do Trabalho Escravo no Segundo Reinado,4,0.07,4,0.07
471,História,02.05.06,3,História do Brasil,Segundo Reinado (1840-1889),Revolução Praieira,,Revolução Praieira,1,0.02,1,0.02
472,História,02.05.07,3,História do Brasil,Segundo Reinado (1840-1889),Lei de Terras de 1850,,Lei de Terras de 1850,9,0.15,9,0.15
473,História,02.05.08,3,História do Brasil,Segundo Reinado (1840-1889),Guerra do Paraguai (1864-1870),,Guerra do Paraguai (1864-1870),4,0.07,4,0.07
474,História,02.05.09,3,História do Brasil,Segundo Reinado (1840-1889),Crise da Monarquia e Proclamação da República (do Movimento Republicano ao Golpe de 1889),,Crise da Monarquia e Proclamação da República (do Movimento Republicano ao Golpe de 1889),10,0.17,10,0.17
475,História,02.05.10,3,História do Brasil,Segundo Reinado (1840-1889),"Religião, Sociedade e Cultura durante o Segundo Reinado (Educação, Ciência, Artes)",,"Religião, Sociedade e Cultura durante o Segundo Reinado (Educação, Ciência, Artes)",4,0.07,4,0.07
476,História,02.06,2,História do Brasil,Primeira República (1889-1930),,,Primeira República (1889-1930),96,1.62,96,1.62
477,História,02.06.01,3,História do Brasil,Primeira República (1889-1930),A Constituição de 1891,,A Constituição de 1891,2,0.03,2,0.03
478,História,02.06.02,3,História do Brasil,Primeira República (1889-1930),Governo Floriano Peixoto (Revolução Federalista),,Governo Floriano Peixoto (Revolução Federalista),4,0.07,4,0.07
479,História,02.06.03,3,História do Brasil,Primeira República (1889-1930),A República Oligárquica (1894 - 1930). Política do Café com Leite. Coronelismo,,A República Oligárquica (1894 - 1930). Política do Café com Leite. Coronelismo,27,0.45,27,0.45
480,História,02.06.04,3,História do Brasil,Primeira República (1889-1930),"Revoltas durante a República Oligárquica (Revoltas de Canudos, da Vacina, da Chibata, Contestado, Tenentismo)",,"Revoltas durante a República Oligárquica (Revoltas de Canudos, da Vacina, da Chibata, Contestado, Tenentismo)",5,0.08,5,0.08
481,História,02.06.05,3,História do Brasil,Primeira República (1889-1930),Economia na Primeira República,,Economia na Primeira República,8,0.13,8,0.13
482,História,02.06.06,3,História do Brasil,Primeira República (1889-1930),Política Externa na Primeira República e o Brasil na Primeira Guerra Mundial,,Política Externa na Primeira República e o Brasil na Primeira Guerra Mundial,26,0.44,26,0.44
483,História,02.06.07,3,História do Brasil,Primeira República (1889-1930),Movimento Operário e Anarquismo durante a República Oligárquica,,Movimento Operário e Anarquismo durante a República Oligárquica,1,0.02,1,0.02
484,História,02.06.08,3,História do Brasil,Primeira República (1889-1930),"Religião, Sociedade e Cultura na Primeira República",,"Religião, Sociedade e Cultura na Primeira República",5,0.08,5,0.08
485,História,02.06.09,3,História do Brasil,Primeira República (1889-1930),A Crise do Sistema Político e o Colapso das Alianças Políticas na Primeira República,,A Crise do Sistema Político e o Colapso das Alianças Políticas na Primeira República,15,0.25,15,0.25
486,História,02.06.10,3,História do Brasil,Primeira República (1889-1930),Outras Questões sobre a Primeira República,,Outras Questões sobre a Primeira República,3,0.05,3,0.05
487,História,02.07,2,História do Brasil,Era Vargas (1930-1945),,,Era Vargas (1930-1945),97,1.63,97,1.63
488,História,02.07.01,3,História do Brasil,Era Vargas (1930-1945),A Ascensão de Getúlio Vargas (1930 a 1937) - Da Revolução de 1930 ao Governo Constitucional,,A Ascensão de Getúlio Vargas (1930 a 1937) - Da Revolução de 1930 ao Governo Constitucional,16,0.27,16,0.27
489,História,02.07.02,3,História do Brasil,Era Vargas (1930-1945),O Estado Novo (1937-1945): a Guinada Autoritária e a Constituição de 1937,,O Estado Novo (1937-1945): a Guinada Autoritária e a Constituição de 1937,24,0.4,24,0.4
490,História,02.07.03,3,História do Brasil,Era Vargas (1930-1945),Economia na Era Vargas: do Café à Indústria,,Economia na Era Vargas: do Café à Indústria,15,0.25,15,0.25
491,História,02.07.04,3,História do Brasil,Era Vargas (1930-1945),Política Externa e Relações Internacionais na Era Vargas. O Brasil na Segunda Guerra,,Política Externa e Relações Internacionais na Era Vargas. O Brasil na Segunda Guerra,18,0.3,18,0.3
